featureName,gnisId,gnisClass,county,state,latitude,longitude,elevation,map,bgnDate,entryDate
Town of Fayston,1462096,Civil,Washington,VT,441247N,0725230W,2047,Waitsfield,,9/1/1995
Town of Ferdinand,1462097,Civil,Essex,VT,444340N,0714526W,1936,Seneca Mountain,,9/1/1995
Town of Ferrisburgh,1462098,Civil,Addison,VT,441223N,0731638W,118,Vergennes West,,9/1/1995
Town of Fletcher,1462099,Civil,Franklin,VT,444239N,0725403W,919,Gilson Mountain,,9/1/1995
Town of Franklin,1462100,Civil,Franklin,VT,445835N,0725352W,607,Sheldon Springs,,9/1/1995
Town of Georgia,1462101,Civil,Franklin,VT,444342N,0730739W,338,Georgia Plains,,9/1/1995
Town of Glastenbury,1462102,Civil,Bennington,VT,425840N,0730428W,3638,Woodford,,9/1/1995
Town of Glover,1462103,Civil,Orleans,VT,444103N,0721351W,1614,Crystal Lake,,9/1/1995
Town of Goshen,1462104,Civil,Addison,VT,435157N,0730017W,1693,Brandon,,9/1/1995
Town of Grafton,1462105,Civil,Windham,VT,431103N,0723708W,1119,Saxtons River,,9/1/1995
Town of Granby,1462106,Civil,Essex,VT,443608N,0714314W,1772,Stone Mountain,,9/1/1995
Town of Grand Isle,1462107,Civil,Grand Isle,VT,444313N,0731756W,171,South Hero,,9/1/1995
Town of Granville,1462108,Civil,Addison,VT,440020N,0725025W,1654,Warren,,9/1/1995
Town of Greensboro,1462109,Civil,Orleans,VT,443614N,0721719W,1827,Caspian Lake,,9/1/1995
Town of Groton,1462110,Civil,Caledonia,VT,441403N,0721543W,1437,Knox Mountain,,9/1/1995
Town of Guildhall,1462111,Civil,Essex,VT,443251N,0713742W,1260,Stone Mountain,,9/1/1995
Town of Guilford,1462112,Civil,Windham,VT,424644N,0723725W,1115,Brattleboro,,9/1/1995
Town of Halifax,1462113,Civil,Windham,VT,424653N,0724440W,1608,Governors Mountain,,9/1/1995
Town of Hancock,1462114,Civil,Addison,VT,435511N,0725439W,2037,Bread Loaf,,9/1/1995
Town of Hardwick,1462115,Civil,Caledonia,VT,443125N,0722053W,1286,Caspian Lake,,9/1/1995
Town of Hartford,1462116,Civil,Windsor,VT,433952N,0722312W,751,Quechee,,9/1/1995
Town of Hartland,1462117,Civil,Windsor,VT,433427N,0722605W,1214,Hartland,,9/1/1995
Town of Highgate,1462118,Civil,Franklin,VT,445756N,0730324W,312,Highgate Center,,9/1/1995
Town of Hinesburg,1462119,Civil,Chittenden,VT,441928N,0730525W,531,Hinesburg,,9/1/1995
Town of Holland,1462277,Civil,Orleans,VT,445813N,0715902W,1745,Morgan Center,,4/1/1990
Town of Hubbardton,1462120,Civil,Rutland,VT,434246N,0731036W,627,Bomoseen,,9/1/1995
Town of Huntington,1462121,Civil,Chittenden,VT,441802N,0725714W,843,Huntington,,9/1/1995
Town of Hyde Park,1462122,Civil,Lamoille,VT,443728N,0723353W,1135,Morrisville,,9/1/1995
Town of Ira,1462123,Civil,Rutland,VT,433311N,0730455W,1378,West Rutland,,9/1/1995
Town of Irasburg,1462124,Civil,Orleans,VT,444851N,0721703W,974,Irasburg,,9/1/1995
Town of Isle La Motte,1462125,Civil,Grand Isle,VT,445147N,0732033W,105,North Hero,,9/1/1995
Town of Jamaica,1462126,Civil,Windham,VT,430602N,0724758W,1352,Jamaica,,9/1/1995
Town of Jay,1462127,Civil,Orleans,VT,445802N,0722902W,1489,North Troy,,9/1/1995
Town of Jericho,1462128,Civil,Chittenden,VT,442835N,0725746W,696,Richmond,,9/1/1995
Town of Johnson,1462129,Civil,Lamoille,VT,443854N,0724104W,715,Johnson,,9/1/1995
Town of Killington,1462208,Civil,Rutland,VT,433915N,0724721W,1788,Pico Peak,,9/1/1995
Town of Kirby,1462130,Civil,Caledonia,VT,443010N,0715454W,1568,Burke Mountain,,9/1/1995
Town of Landgrove,1462131,Civil,Bennington,VT,431550N,0725048W,1522,Weston,,9/1/1995
Town of Leicester,1462132,Civil,Addison,VT,435208N,0730551W,499,Brandon,,9/1/1995
Town of Lemington,1462133,Civil,Essex,VT,445327N,0713459W,1752,Monadnock Mountain,,9/1/1995
Town of Lewis,1462134,Civil,Essex,VT,445201N,0714456W,1450,Bloomfield,,9/1/1995
Town of Lincoln,1462135,Civil,Addison,VT,440544N,0725821W,1270,Lincoln,,9/1/1995
Town of Londonderry,1462136,Civil,Windham,VT,431213N,0724812W,1168,Londonderry,,9/1/1995
Town of Lowell,1462137,Civil,Orleans,VT,444730N,0722725W,1037,Lowell,,9/1/1995
Town of Ludlow,1462138,Civil,Windsor,VT,432344N,0724216W,1010,Ludlow,,9/1/1995
Town of Lunenburg,1462139,Civil,Essex,VT,442835N,0714239W,1240,Gilman,,9/1/1995
Town of Lyndon,1462140,Civil,Caledonia,VT,443242N,0720027W,745,Lyndonville,,9/1/1995
Town of Maidstone,1462141,Civil,Essex,VT,443824N,0713658W,1368,Stratford,,9/1/1995
Town of Manchester,1462142,Civil,Bennington,VT,430955N,0730404W,810,Manchester,,9/1/1995
Town of Marlboro,1462143,Civil,Windham,VT,425232N,0724422W,1457,Newfane,,9/1/1995
Town of Marshfield,1462144,Civil,Washington,VT,441855N,0722140W,1706,Marshfield,,9/1/1995
Town of Mendon,1462145,Civil,Rutland,VT,433734N,0725243W,1841,Chittenden,,9/1/1995
Town of Middlebury,1462146,Civil,Addison,VT,440015N,0730721W,436,South Mountain,,9/1/1995
Town of Middlesex,1462147,Civil,Washington,VT,441937N,0723750W,1027,Middlesex,,9/1/1995
Town of Middletown Springs,1462148,Civil,Rutland,VT,432855N,0730738W,820,Wells,,9/1/1995
Town of Milton,1462149,Civil,Chittenden,VT,443835N,0730915W,266,Georgia Plains,,9/1/1995
Town of Monkton,1462150,Civil,Addison,VT,441339N,0730756W,758,Vergennes East,,9/1/1995
Town of Montgomery,1462151,Civil,Franklin,VT,445135N,0723616W,896,Hazens Notch,,9/1/1995
Town of Moretown,1462153,Civil,Washington,VT,441524N,0724253W,1663,Middlesex,,9/1/1995
Town of Morgan,1462275,Civil,Orleans,VT,445343N,0715809W,1447,Morgan Center,,4/1/1990
Town of Morristown,1462154,Civil,Lamoille,VT,443254N,0723816W,1073,Sterling Mountain,,9/1/1995
Town of Mount Holly,1462155,Civil,Rutland,VT,432540N,0724816W,1919,Mount Holly,,9/1/1995
Town of Mount Tabor,1462156,Civil,Rutland,VT,432058N,0725541W,1821,Danby,,9/1/1995
Town of New Haven,1462160,Civil,Addison,VT,440615N,0730953W,348,Middlebury,,9/1/1995
Town of Newark,1462157,Civil,Caledonia,VT,444229N,0715529W,1421,West Burke,,9/1/1995
Town of Newbury,1462158,Civil,Orange,VT,440634N,0720710W,774,Newbury,,9/1/1995
Town of Newfane,1462159,Civil,Windham,VT,425812N,0724202W,1227,Newfane,,9/1/1995
Town of Newport,1462162,Civil,Orleans,VT,445610N,0721815W,919,Newport Center,,9/1/1995
Town of North Hero,1462164,Civil,Grand Isle,VT,445013N,0731555W,95,North Hero,,9/1/1995
Town of Northfield,1462163,Civil,Washington,VT,440843N,0724103W,1411,Northfield,,9/1/1995
Town of Norton,1462165,Civil,Essex,VT,445845N,0714859W,1339,Norton Pond,,9/1/1995
Town of Norwich,1462166,Civil,Windsor,VT,434508N,0721909W,1050,South Strafford,,9/1/1995
Town of Orange,1462167,Civil,Orange,VT,440922N,0722229W,1745,Knox Mountain,,9/1/1995
Town of Orwell,1462168,Civil,Addison,VT,434822N,0731735W,410,Orwell,,9/1/1995
Town of Panton,1462169,Civil,Addison,VT,440813N,0732011W,118,Vergennes West,,9/1/1995
Town of Pawlet,1462170,Civil,Rutland,VT,432132N,0731115W,600,Pawlet,,9/1/1995
Town of Peacham,1462171,Civil,Caledonia,VT,441959N,0721224W,1778,Peacham,,9/1/1995
Town of Peru,1462172,Civil,Bennington,VT,431519N,0725515W,2021,Danby,,9/1/1995
Town of Pittsfield,1462173,Civil,Rutland,VT,434736N,0724944W,2149,Rochester,,9/1/1995
Town of Pittsford,1462174,Civil,Rutland,VT,434236N,0730238W,358,Proctor,,9/1/1995
Town of Plainfield,1462175,Civil,Washington,VT,441438N,0722426W,1129,Barre East,,9/1/1995
Town of Plymouth,1462176,Civil,Windsor,VT,433121N,0724303W,1519,Plymouth,,9/1/1995
Town of Pomfret,1462177,Civil,Windsor,VT,434149N,0723022W,1444,Woodstock North,,9/1/1995
Town of Poultney,1462178,Civil,Rutland,VT,433158N,0731129W,581,Poultney,,9/1/1995
Town of Pownal,1462179,Civil,Bennington,VT,424730N,0731243W,1289,Pownal,,9/1/1995
Town of Proctor,1462180,Civil,Rutland,VT,433907N,0730212W,479,Proctor,,9/1/1995
Town of Putney,1462181,Civil,Windham,VT,425941N,0723151W,410,Putney,,9/1/1995
Town of Randolph,1462182,Civil,Orange,VT,435615N,0723624W,1362,Randolph Center,,9/1/1995
Town of Reading,1462183,Civil,Windsor,VT,432954N,0723540W,1972,Cavendish,,9/1/1995
Town of Readsboro,1462184,Civil,Bennington,VT,424756N,0725819W,1647,Readsboro,,9/1/1995
Town of Richford,1462185,Civil,Franklin,VT,445809N,0723705W,1168,Jay Peak,,9/1/1995
Town of Richmond,1462186,Civil,Chittenden,VT,442343N,0725938W,446,Richmond,,9/1/1995
Town of Ripton,1462187,Civil,Addison,VT,435919N,0725929W,1670,Bread Loaf,,9/1/1995
Town of Rochester,1462188,Civil,Windsor,VT,435232N,0724942W,1890,Hancock,,9/1/1995
Town of Rockingham,1462189,Civil,Windham,VT,431054N,0723005W,974,Saxtons River,,9/1/1995
Town of Roxbury,1462190,Civil,Washington,VT,440412N,0724338W,1690,Roxbury,,9/1/1995
Town of Royalton,1462191,Civil,Windsor,VT,434853N,0723307W,518,South Royalton,,9/1/1995
Town of Rupert,1462192,Civil,Bennington,VT,431549N,0731126W,1296,Pawlet,,9/1/1995
Town of Rutland,1462194,Civil,Rutland,VT,433449N,0725859W,518,Rutland,,9/1/1995
Town of Ryegate,1462195,Civil,Caledonia,VT,441320N,0720653W,1201,Woodsville,,9/1/1995
Town of Saint Albans,1462197,Civil,Franklin,VT,444839N,0730844W,98,Saint Albans Bay,,9/1/1995
Town of Saint George,1462198,Civil,Chittenden,VT,442252N,0730713W,771,Essex Junction,,9/1/1995
Town of Saint Johnsbury,1462199,Civil,Caledonia,VT,442719N,0720042W,614,Saint Johnsbury,,9/1/1995
Town of Salisbury,1462200,Civil,Addison,VT,435523N,0730641W,430,East Middlebury,,9/1/1995
Town of Sandgate,1462201,Civil,Bennington,VT,431008N,0731149W,1611,West Rupert,,9/1/1995
Town of Searsburg,1462202,Civil,Bennington,VT,425335N,0725800W,2218,Mount Snow,,9/1/1995
Town of Shaftsbury,1462203,Civil,Bennington,VT,425850N,0731229W,1076,Bennington,,9/1/1995
Town of Sharon,1462204,Civil,Windsor,VT,434659N,0722611W,1247,Sharon,,9/1/1995
Town of Sheffield,1462205,Civil,Caledonia,VT,443832N,0720739W,1516,Crystal Lake,,9/1/1995
Town of Shelburne,1462206,Civil,Chittenden,VT,442326N,0731429W,105,Burlington,,9/1/1995
Town of Sheldon,1462207,Civil,Franklin,VT,445357N,0725517W,495,Sheldon Springs,,9/1/1995
Town of Shoreham,1462209,Civil,Addison,VT,435341N,0731849W,325,Bridport,,9/1/1995
Town of Shrewsbury,1462210,Civil,Rutland,VT,433147N,0725120W,1601,Killington Peak,,9/1/1995
Town of Somerset,1462211,Civil,Windham,VT,425830N,0725744W,2169,Mount Snow,,9/1/1995
Town of South Hero,1462213,Civil,Grand Isle,VT,443748N,0731852W,95,South Hero,,9/1/1995
Town of Springfield,1462214,Civil,Windsor,VT,431726N,0722851W,531,Springfield,,9/1/1995
Town of Stamford,1462215,Civil,Bennington,VT,424717N,0730442W,2096,Stamford,,9/1/1995
Town of Stannard,1462216,Civil,Caledonia,VT,443214N,0721212W,1913,Stannard,,9/1/1995
Town of Starksboro,1462217,Civil,Addison,VT,441343N,0730056W,1713,Bristol,,9/1/1995
Town of Stockbridge,1462218,Civil,Windsor,VT,434523N,0724439W,1004,Bethel,,9/1/1995
Town of Stowe,1462219,Civil,Lamoille,VT,442853N,0724319W,883,Stowe,,9/1/1995
Town of Strafford,1462220,Civil,Orange,VT,435209N,0722200W,1299,South Strafford,,9/1/1995
Town of Stratton,1462221,Civil,Windham,VT,430348N,0725559W,2543,Stratton Mountain,,9/1/1995
Town of Sudbury,1462222,Civil,Rutland,VT,434728N,0731048W,814,Sudbury,,9/1/1995
Town of Sunderland,1462223,Civil,Bennington,VT,430417N,0730408W,2461,Sunderland,,9/1/1995
Town of Sutton,1462224,Civil,Caledonia,VT,443948N,0720221W,1437,Sutton,,9/1/1995
Town of Swanton,1462225,Civil,Franklin,VT,445429N,0730731W,128,East Alburg,,9/1/1995
Town of Thetford,1462226,Civil,Orange,VT,435007N,0721453W,568,Lyme,,9/1/1995
Town of Tinmouth,1462227,Civil,Rutland,VT,432641N,0730327W,1417,Middletown Springs,,9/1/1995
