districtCode,officeCode,district,townList,districtImage,members
47,REP,Franklin-3-2,St. Albans Town,http://www.leg.state.vt.us/Reapportionment/SmallMaps/FRA-3-2.pdf,1
48,REP,Franklin-4,"Sheldon, Swanton",http://www.leg.state.vt.us/Reapportionment/SmallMaps/FRA-4.pdf,2
49,REP,Franklin-5,"Berkshire, Franklin, Highgate, Richford",http://www.leg.state.vt.us/Reapportionment/SmallMaps/FRA-5.pdf,2
50,REP,Franklin-6,"Bakersfield, Fairfield, Fletcher",http://www.leg.state.vt.us/Reapportionment/SmallMaps/FRA-6.pdf,1
51,REP,Franklin-7,"Enosburgh, Montgomery",http://www.leg.state.vt.us/Reapportionment/SmallMaps/FRA-7.pdf,1
52,REP,Grand Isle-Chittenden,"Alburgh, Grand Isle, Isle La Motte, Milton, North Hero, South Hero",http://www.leg.state.vt.us/Reapportionment/SmallMaps/GI-CHI.pdf,2
53,REP,Lamoille-1,Stowe,http://www.leg.state.vt.us/Reapportionment/SmallMaps/LAM-1.pdf,1
54,REP,Lamoille-2,"Belvidere, Hyde Park, Johnson, Wolcott",http://www.leg.state.vt.us/Reapportionment/SmallMaps/LAM-2.pdf,2
55,REP,Lamoille-3,"Cambridge, Waterville",http://www.leg.state.vt.us/Reapportionment/SmallMaps/LAM-3.pdf,1
56,REP,Lamoille-Washington,"Elmore, Morristown, Woodbury, Worcester",http://www.leg.state.vt.us/Reapportionment/SmallMaps/LAM-WAS.pdf,2
57,REP,Orange-1,"Chelsea, Corinth, Orange, Vershire, Washington, Williamstown",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ORA-1.pdf,2
58,REP,Orange-2,"Bradford, Fairlee, West Fairlee",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ORA-2.pdf,1
59,REP,Orange-Caledonia,"Groton, Newbury, Topsham",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ORA-CAL.pdf,1
60,REP,Orange-Washington-Addison,"Braintree, Brookfield, Granville, Randolph, Roxbury",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ORA-WAS-ADD.pdf,2
61,REP,Orleans-1,"Brownington, Charleston, Derby, Holland, Morgan",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ORL-1.pdf,2
62,REP,Orleans-2,"Coventry, Irasburg, Newport City, Newport Town, Troy",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ORL-2.pdf,2
63,REP,Orleans-Caledonia,"Albany, Barton, Craftsbury, Glover, Greensboro, Sheffield, Wheelock",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ORL-CAL.pdf,2
64,REP,Orleans-Lamoille,"Eden, Jay, Lowell, Troy, Westfield",http://www.leg.state.vt.us/Reapportionment/SmallMaps/ORL-LAM.pdf,1
65,REP,Rutland-1,"Ira, Poultney",http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-1.pdf,1
66,REP,Rutland-2,"Clarendon, Proctor, Tinmouth, Wallingford, West Rutland",http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-2.pdf,2
67,REP,Rutland-3,"Castleton, Fair Haven, Hubbardton, West Haven",http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-3.pdf,2
68,REP,Rutland-4,Rutland Town,http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-4.pdf,1
69,REP,Rutland-5-1,Rutland City,http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-5-1.pdf,1
70,REP,Rutland-5-2,Rutland City,http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-5-2.pdf,1
71,REP,Rutland-5-3,Rutland City,http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-5-3.pdf,1
72,REP,Rutland-5-4,Rutland City,http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-5-4.pdf,1
73,REP,Rutland-6,"Brandon, Pittsford, Sudbury",http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-6.pdf,2
74,REP,Rutland-Bennington,"Middletown Springs, Pawlet, Rupert, Tinmouth, Wells",http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-BEN.pdf,1
75,REP,Rutland-Windsor-1,"Bridgewater, Chittenden, Killington, Mendon",http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-WDR-1.pdf,1
76,REP,Rutland-Windsor-2,"Ludlow, Mount Holly, Shrewsbury",http://www.leg.state.vt.us/Reapportionment/SmallMaps/RUT-WDR-2.pdf,1
77,REP,Washington-1,"Berlin, Northfield",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WAS-1.pdf,2
78,REP,Washington-2,Barre Town,http://www.leg.state.vt.us/Reapportionment/SmallMaps/WAS-2.pdf,2
79,REP,Washington-3,Barre City,http://www.leg.state.vt.us/Reapportionment/SmallMaps/WAS-3.pdf,2
80,REP,Washington-4,Montpelier,http://www.leg.state.vt.us/Reapportionment/SmallMaps/WAS-4.pdf,2
81,REP,Washington-5,"East Montpelier, Middlesex",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WAS-5.pdf,1
82,REP,Washington-6,"Calais, Marshfield, Plainfield",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WAS-6.pdf,1
83,REP,Washington-7,"Duxbury, Fayston, Moretown, Waitsfield, Warren",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WAS-7.pdf,2
84,REP,Washington-Chittenden,"Bolton, Buels Gore, Huntington, Waterbury",http://www.leg.state.vt.us/Reapportionment/SmallMaps/WAS-CHI.pdf,2
