sessionCode,session,description,officeCode,termOfOfficeCode,startDateString,endDateString
H2013,House 2013-14 Session,House of Representative 2013-2014 Legislative Session,REP,H2013,1/10/2013,5/31/2014
S2013,Senate 2013-14 Session,Senate 2013-2014 Legislative Session,SEN,S2013,1/10/2013,5/31/2014
